"Example %d","Například %d"
"Website: %s","Webové stránky: %s"
"Rename","Přejmenovat"
"Label and Sort order","Nadpis a Řazení objednávek"
"%d image","%d obrázek"
" %d images","%d obrázky"
"%d images","%d obrázků"
