"INCOMPLETE MODULE INSTALLATION","SIKERTELEN MODUL TELEPÍTÉS"
"There is conflict (<em>%s</em>).","Probléma merült fel (<em>%s</em>)."
"Example %d","Ppéldául %d"
"Website: %s","Weboldal: %s"
"%d image","%d kép"
" %d images","%d kép"
"%d images","%d kép"
