"Photo gallery","照片库"
"[strong]Warning[/strong], the following files were not saved:","[strong]警告！[/strong]下列文件未保存："
"[strong]However[/strong], the following files were successfully saved:","[strong]注意！[/strong]以下文件已保存："
"PHP manual","PHP手册"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","值得注意的是，邮件发送完成并不意味着邮件将实际到达预定的目的地。"
"Surprise!","惊喜！"
"You are watching this video without proprietary extension thanks to the new [em]video[/em] tag included in the [strong]HTML 5[/strong] language.","由于[strong]HTML 5 语言[/strong]中包含的全新的[em]视频[/em]标签，因此您无需安装扩展功能即可查看此视频。"
"Website: %s","网站：%s"
"Label and Sort order","标签和排序"
