"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"PHP manual","PHP マニュアル"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","メールの配送が受け入れられたかどうかが基準であることに注意しましょう。メールが実際にあて先に届いたかどうかでは「ありません」。"
"Example %d","例%d"
"Website: %s","ウェブサイト：%s"
"Rename","名前変更"
"Label and Sort order","ラベルと並び順"
"Remove all","すべて削除"
