"Dialogs boxes","Caixas de diálogo"
"Enable in backend","Ativar no back-office"
"Enable in frontend","Ativar no front-office"
"Remove cached images","Suprimir as imagens em cache"
"When removing a <strong>product image</strong> or a <strong>product</strong>, a <strong>category image</strong> or a <strong>category</strong>, a <strong>wysiwyg image</strong> (remove even if the apijs is disabled).","Quando suprimir uma imagem ou um produto."
"Automatically display the gallery tab","Afixar automaticamente o separador da galeria"
"When displaying the modification page of a product in the backend.","Ao afixar a página de modificação de um produto no back-office."
"PHP manual","Manual do PHP"
"It is important to note that just because the mail was accepted for delivery, it doesn't mean the mail will actually reach the intended destination.","É importante notar que somente pelo o e-mail ser aceito para entrega, não significa que o e-mail alcancará o destino esperado."
"Example %d","Exemplo %d"
"Website: %s","Sítio Web: %s"
